experiment_id,experiment_name,short_description,long_description,private_comments,restrictions,duration_minutes,preparation,credits,exp_pay_type,valid,previously_approved,active_flag,exp_signup_email,auto_credit_enable,has_prereqs,is_disqualifier,prereq_any,double_signup_flag,signup_password,web_flag,survey_flag,survey_anon_flag,experiment_url,irb_code,irb_expiration_date,is_multipart_experiment,multipart_number,part1_experiment_id,multipart_min_days,multipart_max_days,total_parts,multipart_exact,usage_limit,signup_limit,cancel_limit,creation_date,age_minimum,age_maximum
18,ENGLISH-SPANISH BILINGUALS: Interactions of first and second language (SOTOGARCIA-0122),,,,IMPORTANT: You have to be a native English speaker who speaks Spanish as your second language. No participant will be allowed to attend the session in the lab unless they have completed the online questionnaire.,70,,0,M,1,1,1,1,0,1,1,0,0,,0,0,0,,ETH2021-2041,,0,1,,0,0,1,0,0,24,24,5/16/22 13:49,0,200
19,SPANISH HERITAGE SPEAKERS: Interactions of first and second language (SOTOGARCIA-0122),,,,"Your parents (or one of them) are native speakers of Spanish. You were raised in the United Kingdom, or another English-speaking country and you speak Spanish. It is MANDATORY to complete a questionnaire before attending the session in the lab.",70,,0,M,1,1,1,1,0,1,1,0,0,,0,0,0,,ETH2021-2041,,0,1,,0,0,1,0,0,24,24,5/16/22 13:58,0,200
20,Social processing of naturalistic social interactions - DAUGHTERS-0422,,,,None,60,,0,M,1,1,1,0,0,0,0,0,0,,0,0,0,,ETH2122-1116,,0,1,,0,0,1,0,0,24,24,5/17/22 14:27,0,200
21,ENGLISH MONOLINGUALS (2-part): Interactions of first and second language (SOTOGARCIA-0122) - Part 1,,,,You are an English native speaker with little or no previous knowledge of other languages. No participant will be allowed to attend the session in the lab unless they have completed the online questionnaire.,60,,0,M,1,1,1,1,0,1,1,0,0,,0,0,0,,ETH2021-2041,,1,1,,-1,-1,2,0,0,24,24,5/18/22 15:45,0,200
22,ENGLISH MONOLINGUALS (2-part): Interactions of first and second language (SOTOGARCIA-0122) - Part 2,,,,You are an English native speaker with little or no previous knowledge of other languages. No participant will be allowed to attend the session in the lab unless they have completed the online questionnaire.,20,,0,M,1,1,1,1,0,1,1,0,0,,0,0,0,,ETH2021-2041,,1,2,21,1,8,2,0,0,24,24,5/18/22 15:45,0,200
23,SPANISH NATIVE SPEAKERS 2-part: Interactions of first and second language (SOTOGARCIA-0122) - Part 1,,,,This study is for Spanish native speakers who have lived in the UK for at least 2 years in a row. No participant will be allowed to attend the session in the lab unless they have completed the online questionnaire.,70,,0,M,1,1,1,1,0,1,0,0,0,,0,0,0,,ETH2021-2041,,1,1,,-1,-1,2,0,0,24,24,5/18/22 15:56,0,200
24,SPANISH NATIVE SPEAKERS 2-part: Interactions of first and second language (SOTOGARCIA-0122) - Part 2,,,,This study is for Spanish native speakers who have lived in the UK for at least 2 years in a row. No participant will be allowed to attend the session in the lab unless they have completed the online questionnaire.,20,,0,M,1,1,1,1,0,1,0,0,0,,0,0,0,,ETH2021-2041,,1,2,23,1,10,2,0,0,24,24,5/18/22 15:56,0,200
25,Does the Beauty beat the Beast? (FULLARD-0122O),,,,None,60,,0,M,1,1,1,0,0,0,0,0,0,,1,0,0,https://essex.eu.qualtrics.com/jfe/form/SV_8j2QFqMAjyZ6dEy,,,0,1,,0,0,1,0,0,24,24,5/25/22 15:12,0,200
26,Why copy others' financial decisions? (FREER-0522),,,,None,30,,0,M,1,1,1,0,0,0,0,0,0,,0,0,0,,,,0,1,,0,0,1,0,0,24,24,6/15/22 11:33,0,200
27,DIANAT-0522 - Conspicuous Consumption in the Lab,,,,None,60,,0,M,1,1,1,0,0,0,0,0,0,,0,0,0,,,,0,1,,0,0,1,0,0,24,24,6/22/22 11:40,0,200
28,Listening and feeling together (CHIU-0622),,,,None,90,,0,M,1,1,0,0,0,0,0,0,0,,0,0,0,,,,0,1,,0,0,1,0,0,24,24,6/22/22 15:41,0,200
30,Decision Making Study (MENGEL-0722),,,,None,90,,0,M,1,1,1,0,0,0,0,0,0,,0,0,0,,,,0,1,,0,0,1,0,0,0,24,9/26/22 10:12,0,200
31,BHALOTRA-0422EX - The impact of leaders on team performance,,,,None,180,,0,M,1,1,1,0,0,0,0,0,0,,0,0,0,,,,0,1,,0,0,1,0,0,24,24,10/5/22 12:52,0,200
32,Intake survey for 2-hour lab study!,,,,None,10,This is a prescreen online survey for a 2 hour study (£25 amazon vouchers),0,M,1,1,1,1,0,0,0,0,0,,1,0,0,https://essex.eu.qualtrics.com/jfe/form/SV_6Pdki9Yjqp9jFIi?id=%SURVEY_CODE%,,,0,1,,0,0,1,0,0,1,24,10/10/22 13:05,0,200
33,"Invitation only: Emotional and physiological reactions to music, speech and sounds (CHIU-0622)",,,,You must have been invited by the research team,120,"Please wear loose clothing (no dresses, roll necks) and no heavy makeup or false eyelashes.",0,M,0,0,0,1,0,1,0,0,0,emot1on,0,0,0,,,,0,1,,0,0,1,0,0,24,24,10/27/22 11:24,0,200
