id_code,start_time,end_time,duration,Q0,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20
3586,25/03/2022 15:28,25/03/2022 15:30,2,I agree,Student,LAFIT13804,Female,From a friend,1998,British citizen,I don't hold another citizenship,Native / bilingual proficiency,[Decline to Answer],"Single, not living with partner",[Decline to Answer],London,Employed part-time,No,"£10, 001 to £20, 000",Prefer not to answer,Online and lab based,2018,Undergraduate Degree (e.g. BA/BSc),Psychoanalytic Studies
3616,26/03/2022 9:03,26/03/2022 9:06,3,I agree,Student,NESTO16004,Female,From a friend,2000,British citizen,I don't hold another citizenship,Native / bilingual proficiency,English,"Single, not living with partner",No religion,South East,Employed part-time,No,"Below £10, 00","Below £10, 00",Online and lab based,2018,Undergraduate Degree (e.g. BA/BSc),Psychology
3622,25/03/2022 15:07,25/03/2022 15:10,3,I agree,Staff member,BRADL62900,Male,From a friend,1989,British citizen,I don't hold another citizenship,Native / bilingual proficiency,English,"Single, living with partner",No religion,East of England,Employed full-time,Yes,"£20, 001 to £30, 000","£40, 001 to £50, 000",Online and lab based,[Decline to Answer],Not a student,Not an Essex university student
3634,25/03/2022 16:16,25/03/2022 16:19,3,I agree,Neither,[Decline to Answer],Female,Other,2001,Permanent resident in the UK,I don't hold another citizenship,Native / bilingual proficiency,Dutch,"Single, not living with partner",Christianity,East of England,Employed part-time,No,"£10, 001 to £20, 000",[Decline to Answer],Online and lab based,[Decline to Answer],Undergraduate Degree (e.g. BA/BSc),Law
3640,06/04/2022 13:38,06/04/2022 13:42,4,I agree,Student,HARRI89904,Male,Mailout,1999,British citizen,I don't hold another citizenship,Native / bilingual proficiency,English,"Single, not living with partner",No religion,South East,Not currently employed,No,[Decline to Answer],[Decline to Answer],Online and lab based,2018,Undergraduate Degree (e.g. BA/BSc),Language & Linguistics
3646,27/04/2022 14:41,27/04/2022 14:43,2,I agree,Student,PHAME96006,Female,From a friend,2000,British citizen,I don't hold another citizenship,Native / bilingual proficiency,Vietnamese,"Single, not living with partner",Buddhism,East of England,Employed part-time,No,"Below £10, 00","Below £10, 00",Online and lab based,2018,Undergraduate Degree (e.g. BA/BSc),Computer Science & Electronic Engineering
3661,25/03/2022 15:01,25/03/2022 15:05,4,I agree,Neither,[Decline to Answer],Female,From a friend,1963,British citizen,I don't hold another citizenship,Native / bilingual proficiency,English,Married,Christianity,East of England,[Decline to Answer],Yes,[Decline to Answer],[Decline to Answer],Online and lab based,[Decline to Answer],[Decline to Answer],[Decline to Answer]
3667,25/03/2022 16:14,25/03/2022 16:17,3,I agree,Neither,No,Male,Other,1985,British citizen,I don't hold another citizenship,Full professional proficiency,English,Married,No religion,South East,Employed full-time,Yes,"Above £50, 001","Above £50, 001",Online and lab based,[Decline to Answer],Not a student,Not an Essex university student
3679,26/04/2022 11:06,26/04/2022 11:08,2,I agree,Student,[Decline to Answer],Female,Fresher's Fair,1992,British citizen,I don't hold another citizenship,Native / bilingual proficiency,English,"Single, not living with partner",No religion,East of England,Employed full-time,Yes,"£10, 001 to £20, 000","£10, 001 to £20, 000",Online and lab based,2019,Undergraduate Degree (e.g. BA/BSc),Biological Sciences
3685,29/03/2022 17:16,29/03/2022 17:19,3,I agree,Student,DYULG53902,Male,Fresher's Fair,1999,Neither,Bulgaria,Full professional proficiency,Bulgarian,"Single, not living with partner",No religion,Not from the UK,Not currently employed,No,"Below £10, 00","£10, 001 to £20, 000",Online and lab based,2018,Master's Degree (e.g. MA/MSc/MRes),Government
3688,15/06/2022 16:32,15/06/2022 16:37,5,I agree,Student,[Decline to Answer],Male,Mailout,1999,Neither,China,Professional working proficiency,Mandarin Chinese,"Single, not living with partner",No religion,East of England,Employed part-time,No,Prefer not to answer,"£40, 001 to £50, 000",Online and lab based,2019,Undergraduate Degree (e.g. BA/BSc),Economics
3694,25/03/2022 16:20,25/03/2022 16:26,6,I agree,Neither,[Decline to Answer],Male,Other,1965,British citizen,I don't hold another citizenship,Native / bilingual proficiency,English,"Single, not living with partner",No religion,East of England,Retired,No,"£20, 001 to £30, 000","£20, 001 to £30, 000",Online and lab based,[Decline to Answer],[Decline to Answer],Not an Essex university student
3700,25/03/2022 17:10,25/03/2022 17:14,4,I agree,Student,PHELP42106,Female,Fresher's Fair,2001,British citizen,I don't hold another citizenship,Native / bilingual proficiency,English,"Single, not living with partner",Christianity,East of England,Employed part-time,No,"£10, 001 to £20, 000","£30, 001 to £40, 000",Online and lab based,2019,Undergraduate Degree (e.g. BA/BSc),Biological Sciences
3712,25/03/2022 20:51,25/03/2022 20:54,3,I agree,Student,DRAGO29002,Male,From a friend,2000,Permanent resident in the UK,Romania,Full professional proficiency,Romanian,[Decline to Answer],No religion,East of England,Employed part-time,No,"£10, 001 to £20, 000","£10, 001 to £20, 000",Online and lab based,2019,Master's Degree (e.g. MA/MSc/MRes),Computer Science & Electronic Engineering
3721,09/06/2022 13:22,09/06/2022 13:24,2,I agree,Student,JURAG08902,Female,Fresher's Fair,1999,Permanent resident in the UK,Croatia,Full professional proficiency,Croatian,"Single, not living with partner",No religion,Not from the UK,Employed part-time,No,"Below £10, 00","£20, 001 to £30, 000",Only online,2018,Undergraduate Degree (e.g. BA/BSc),Computer Science & Electronic Engineering
3724,23/05/2022 12:25,23/05/2022 12:27,2,I agree,Student,HIGGS68905,Female,Mailout,1999,British citizen,I don't hold another citizenship,Native / bilingual proficiency,English,"Single, not living with partner",No religion,Not from the UK,Not currently employed,No,Prefer not to answer,Prefer not to answer,Online and lab based,2019,Undergraduate Degree (e.g. BA/BSc),Language & Linguistics
3742,26/03/2022 10:43,26/03/2022 10:45,2,I agree,Student,Masoe78101,Male,Mailout,2001,British citizen,South Africa,Native / bilingual proficiency,English,"Single, living with partner",Islam,London,Employed part-time,No,"Below £10, 00","Above £50, 001",Online and lab based,2019,Undergraduate Degree (e.g. BA/BSc),Health & Human Sciences
3748,29/03/2022 12:15,29/03/2022 12:18,3,I agree,Student,[Decline to Answer],Female,Mailout,1974,British citizen,I don't hold another citizenship,Full professional proficiency,English,"Single, not living with partner",No religion,East of England,Not currently employed,Yes,[Decline to Answer],[Decline to Answer],Online and lab based,2020,Undergraduate Degree (e.g. BA/BSc),Psychoanalytic Studies
3799,25/03/2022 15:02,25/03/2022 15:08,6,I agree,Staff member,CAPLE05606,Female,From a friend,1996,British citizen,I don't hold another citizenship,Native / bilingual proficiency,English,"Single, living with partner",No religion,East of England,Employed full-time,No,"£30, 001 to £40, 000","Above £50, 001",Online and lab based,n/a,Not a student,Not an Essex university student
3823,22/04/2022 0:02,22/04/2022 0:04,2,I agree,Staff member,ADEOG04705,Female,From a friend,1997,Permanent resident in the UK,Ireland,Native / bilingual proficiency,English,"Single, not living with partner",[Decline to Answer],North West,Employed part-time,No,[Decline to Answer],[Decline to Answer],Online and lab based,2019,Master's Degree (e.g. MA/MSc/MRes),Psychology
4072,28/03/2022 15:21,28/03/2022 15:23,2,I agree,Staff member,32201,Male,Mailout,1972,British citizen,I don't hold another citizenship,Native / bilingual proficiency,English,"Single, not living with partner",No religion,East of England,Employed full-time,Yes,"£40, 001 to £50, 000","£40, 001 to £50, 000",Online and lab based,[Decline to Answer],[Decline to Answer],[Decline to Answer]
4093,02/06/2022 13:44,02/06/2022 13:46,2,I agree,Student,MIHAL77706,Female,Mailout,1997,Neither,Romania,Full professional proficiency,Romanian,"Single, living with partner",Buddhism,East of England,Employed part-time,No,"Below £10, 00","£10, 001 to £20, 000",Online and lab based,[Decline to Answer],Undergraduate Degree (e.g. BA/BSc),Art History and Theory
4120,27/03/2022 9:24,27/03/2022 9:29,5,I agree,Neither,[Decline to Answer],Female,From a friend,1951,British citizen,Australia,Native / bilingual proficiency,English,Divorced,No religion,East of England,Retired,Yes,[Decline to Answer],[Decline to Answer],Online and lab based,[Decline to Answer],Not a student,Not an Essex university student
4150,25/03/2022 19:24,25/03/2022 19:29,5,I agree,Neither,N/a,Female,Mailout,1960,British citizen,I don't hold another citizenship,Native / bilingual proficiency,English,Married,Christianity,South East,Employed part-time,Yes,"£30, 001 to £40, 000","£30, 001 to £40, 000",Online and lab based,[Decline to Answer],[Decline to Answer],[Decline to Answer]
4168,25/03/2022 16:50,25/03/2022 16:54,4,I agree,Neither,[Decline to Answer],Male,Mailout,1944,British citizen,I don't hold another citizenship,Professional working proficiency,English,"Single, living with partner",Christianity,East of England,Retired,Yes,"£10, 001 to £20, 000","£20, 001 to £30, 000",Online and lab based,[Decline to Answer],[Decline to Answer],[Decline to Answer]
4171,25/03/2022 17:20,25/03/2022 17:23,3,I agree,Neither,[Decline to Answer],Male,Other,1968,British citizen,I don't hold another citizenship,Native / bilingual proficiency,English,Married,No religion,East of England,Employed full-time,Yes,"Above £50, 001","Above £50, 001",Online and lab based,[Decline to Answer],Not a student,Not an Essex university student
4216,11/05/2022 15:53,11/05/2022 15:55,2,I agree,Staff member,KINGD05314,Male,From a friend,1983,British citizen,United Kingdom,Native / bilingual proficiency,English,Married,Christianity,East of England,Employed full-time,Yes,"£30, 001 to £40, 000","Above £50, 001",Online and lab based,[Decline to Answer],Not a student,Not an Essex university student
4222,27/03/2022 16:39,27/03/2022 16:43,4,I agree,Neither,[Decline to Answer],Female,Other,1971,British citizen,I don't hold another citizenship,Native / bilingual proficiency,English,"Single, not living with partner",No religion,South East,Employed full-time,No,"£30, 001 to £40, 000","£30, 001 to £40, 000",Online and lab based,[Decline to Answer],Not a student,[Decline to Answer]
4231,29/03/2022 13:54,29/03/2022 13:58,4,I agree,Neither,[Decline to Answer],Female,Mailout,1954,British citizen,I don't hold another citizenship,Native / bilingual proficiency,English,Widowed,Christianity,East of England,Retired,Yes,"£10, 001 to £20, 000","£10, 001 to £20, 000",Online and lab based,[Decline to Answer],[Decline to Answer],[Decline to Answer]
4267,25/03/2022 17:47,25/03/2022 18:07,20,I agree,Neither,[Decline to Answer],Female,Mailout,1978,British citizen,Malayasia,Professional working proficiency,English,Divorced,No religion,East of England,Employed full-time,Yes,"£10, 001 to £20, 000","£10, 001 to £20, 000",Online and lab based,[Decline to Answer],Not a student,Not an Essex university student
4270,28/03/2022 18:10,28/03/2022 18:13,3,I agree,Neither,[Decline to Answer],Female,From a friend,1955,British citizen,I don't hold another citizenship,Native / bilingual proficiency,English,Married,No religion,East of England,Employed part-time,Yes,"£20, 001 to £30, 000","£40, 001 to £50, 000",Online and lab based,[Decline to Answer],[Decline to Answer],[Decline to Answer]
4273,06/04/2022 9:49,06/04/2022 9:55,6,I agree,Staff member,MANAC92009,Male,From a friend,1990,British citizen,Romania,Full professional proficiency,Romanian,Married,Christianity,East of England,Employed full-time,No,"£30, 001 to £40, 000","Above £50, 001",Online and lab based,[Decline to Answer],Not a student,Not an Essex university student
4294,25/03/2022 15:11,25/03/2022 15:15,4,I agree,Staff member,IVORY92505,Female,Mailout,1975,British citizen,I don't hold another citizenship,Native / bilingual proficiency,English,[Decline to Answer],No religion,East of England,Employed full-time,Prefer not to say,[Decline to Answer],[Decline to Answer],Online and lab based,[Decline to Answer],Not a student,Not an Essex university student
4297,25/03/2022 16:18,25/03/2022 16:22,4,I agree,Staff member,[Decline to Answer],Female,From a friend,1962,British citizen,I don't hold another citizenship,Native / bilingual proficiency,English,"Single, not living with partner",No religion,East of England,Retired,Yes,"Below £10, 00","£20, 001 to £30, 000",Online and lab based,[Decline to Answer],[Decline to Answer],[Decline to Answer]
4432,06/04/2022 12:27,06/04/2022 12:29,2,I agree,Student,HRIST32900,Male,Other,1999,Permanent resident in the UK,Bulgaria,Native / bilingual proficiency,Bulgarian,"Single, not living with partner",Other,East of England,Employed full-time,No,[Decline to Answer],[Decline to Answer],Online and lab based,2017,Undergraduate Degree (e.g. BA/BSc),Essex Business School
4438,06/04/2022 15:30,06/04/2022 15:32,2,I agree,Staff member,[Decline to Answer],Female,Other,1967,British citizen,I don't hold another citizenship,Full professional proficiency,English,"Single, not living with partner",[Decline to Answer],South East,Not currently employed,Yes,"Below £10, 00","Below £10, 00",Online and lab based,[Decline to Answer],Not a student,Not an Essex university student
4597,03/06/2022 12:07,03/06/2022 12:12,5,I agree,Neither,BLACK25516,Female,Other,1965,British citizen,I don't hold another citizenship,Native / bilingual proficiency,English,Married,Christianity,East of England,Employed part-time,Yes,[Decline to Answer],[Decline to Answer],Online and lab based,[Decline to Answer],[Decline to Answer],[Decline to Answer]
4633,26/03/2022 16:50,26/03/2022 16:53,3,I agree,Staff member,KUDZI95806,Female,From an instructor,1998,Permanent resident in the UK,Poland,Full professional proficiency,Polish,"Single, living with partner",No religion,Not from the UK,Employed part-time,No,"£10, 001 to £20, 000","£30, 001 to £40, 000",Online and lab based,2017,Undergraduate Degree (e.g. BA/BSc),Psychology
4720,25/03/2022 15:41,25/03/2022 15:43,2,I agree,Neither,N/A,Male,Mailout,1984,British citizen,I don't hold another citizenship,Native / bilingual proficiency,English,Married,Christianity,East of England,Employed full-time,No,"£10, 001 to £20, 000","£20, 001 to £30, 000",Online and lab based,N/A,Not a student,Not an Essex university student
4759,06/04/2022 9:58,06/04/2022 10:00,2,I agree,Staff member,[Decline to Answer],Female,Leaflet,1993,British citizen,I don't hold another citizenship,Native / bilingual proficiency,English,"Single, living with partner",Christianity,East of England,Employed full-time,No,"£20, 001 to £30, 000","£40, 001 to £50, 000",Online and lab based,[Decline to Answer],Not a student,Not an Essex university student
4789,28/03/2022 1:20,28/03/2022 1:22,2,I agree,Neither,[Decline to Answer],Male,Fresher's Fair,1997,British citizen,I don't hold another citizenship,Native / bilingual proficiency,English,"Single, not living with partner",[Decline to Answer],London,Employed part-time,No,"Below £10, 00","Below £10, 00",Only online,[Decline to Answer],[Decline to Answer],[Decline to Answer]
4804,25/03/2022 15:17,25/03/2022 15:20,3,I agree,Student,[Decline to Answer],Female,Fresher's Fair,1998,British citizen,I don't hold another citizenship,Native / bilingual proficiency,English,"Single, not living with partner",No religion,London,Employed part-time,No,[Decline to Answer],[Decline to Answer],Online and lab based,2017,Undergraduate Degree (e.g. BA/BSc),Psychoanalytic Studies
4807,03/04/2022 19:21,03/04/2022 19:25,4,I agree,Neither,[Decline to Answer],Female,Other,1992,Permanent resident in the UK,Germany,Native / bilingual proficiency,German,"Single, living with partner",[Decline to Answer],Not from the UK,Employed full-time,No,"£20, 001 to £30, 000","£40, 001 to £50, 000",Online and lab based,[Decline to Answer],[Decline to Answer],[Decline to Answer]
4876,28/03/2022 9:23,28/03/2022 9:25,2,I agree,Staff member,[Decline to Answer],Female,Mailout,1991,Permanent resident in the UK,Latvia,Native / bilingual proficiency,Russian,Married,No religion,North West,Employed full-time,No,"£30, 001 to £40, 000","Above £50, 001",Only online,[Decline to Answer],[Decline to Answer],[Decline to Answer]
4915,25/03/2022 15:19,25/03/2022 15:22,3,I agree,Neither,[Decline to Answer],Male,Mailout,1971,British citizen,I don't hold another citizenship,Full professional proficiency,English,"Single, not living with partner",No religion,South East,Not currently employed,Yes,"Below £10, 00",[Decline to Answer],Online and lab based,[Decline to Answer],Not a student,Not an Essex university student
4963,25/03/2022 16:46,25/03/2022 16:49,3,I agree,Neither,[Decline to Answer],Female,Other,1996,British citizen,I don't hold another citizenship,Native / bilingual proficiency,English,"Single, living with partner",No religion,South West,Employed full-time,No,"£10, 001 to £20, 000","£40, 001 to £50, 000",Only online,2015,Not a student,Not an Essex university student
4969,27/03/2022 13:37,27/03/2022 13:41,4,I agree,Staff member,[Decline to Answer],Female,Mailout,1986,British citizen,United Kingdom,Professional working proficiency,English,"Single, not living with partner",Christianity,East of England,Employed full-time,Yes,"£30, 001 to £40, 000","£30, 001 to £40, 000",Online and lab based,[Decline to Answer],Not a student,Not an Essex university student
4972,06/04/2022 9:53,06/04/2022 9:55,2,I agree,Neither,[Decline to Answer],Female,From a friend,1984,British citizen,United Kingdom,Native / bilingual proficiency,English,"Single, living with partner",Christianity,East of England,Employed full-time,No,"£10, 001 to £20, 000","£40, 001 to £50, 000",Online and lab based,[Decline to Answer],Not a student,[Decline to Answer]
4978,25/03/2022 15:02,25/03/2022 15:08,6,I agree,Staff member,PHILL90109,Female,Mailout,1971,British citizen,I don't hold another citizenship,Native / bilingual proficiency,English,Married,No religion,East of England,Employed part-time,Yes,"£20, 001 to £30, 000","Above £50, 001",Online and lab based,I am not a student.,Not a student,Not an Essex university student
